day,trade,crew,exposure_steps
0,rebar,6,96.0
1,rebar,6,71.0
2,rebar,6,85.0
3,formwork_erection,6,138.0
4,formwork_erection,6,108.0
5,concrete_pour,8,129.0
6,concrete_pour,8,134.0
7,concrete_pour,0,0.0
8,concrete_pour,0,0.0
9,concrete_pour,0,0.0
10,concrete_pour,0,0.0
11,concrete_pour,0,0.0
12,concrete_pour,0,0.0
13,formwork_erection,6,96.0
14,formwork_erection,6,104.0
15,formwork_erection,6,114.0
16,rebar,6,63.0
17,rebar,6,137.0
18,rebar,6,110.0
19,concrete_pour,8,113.0
20,concrete_pour,8,127.0
21,concrete_pour,0,0.0
22,concrete_pour,0,0.0
23,concrete_pour,0,0.0
24,concrete_pour,0,0.0
25,rebar,6,101.0
26,rebar,6,104.0
27,rebar,6,139.0
28,rebar,6,102.0
29,rebar,6,90.0
30,rebar,6,119.0
31,rebar,6,86.0
32,rebar,6,141.0
33,rebar,6,99.0
34,rebar,6,116.0
35,rebar,6,95.0
36,rebar,6,87.0
37,rebar,6,105.0
38,formwork_erection,6,104.0
39,formwork_erection,6,104.0
40,formwork_erection,6,91.0
41,formwork_erection,6,94.0
42,formwork_erection,6,158.0
43,formwork_erection,6,72.0
44,formwork_erection,6,126.0
45,formwork_erection,6,84.0
46,formwork_erection,6,153.0
47,concrete_pour,8,159.0
48,concrete_pour,8,90.0
49,concrete_pour,8,143.0
50,concrete_pour,8,116.0
51,concrete_pour,8,104.0
52,concrete_pour,0,0.0
53,concrete_pour,0,0.0
54,concrete_pour,0,0.0
55,concrete_pour,0,0.0
56,concrete_pour,0,0.0
57,concrete_pour,0,0.0
58,material_handling,4,71.0
59,material_handling,4,33.0
60,material_handling,4,39.0
61,material_handling,4,34.0
62,material_handling,4,48.0
63,material_handling,4,50.0
64,material_handling,4,81.0
65,rebar,6,78.0
66,rebar,6,71.0
67,rebar,6,52.0
68,rebar,6,34.0
69,rebar,6,81.0
70,rebar,6,50.0
71,formwork_erection,6,59.0
72,formwork_erection,6,101.0
73,formwork_erection,6,71.0
74,formwork_erection,6,79.0
75,formwork_erection,6,100.0
76,concrete_pour,8,88.0
77,concrete_pour,8,86.0
78,concrete_pour,8,133.0
79,concrete_pour,0,0.0
80,concrete_pour,0,0.0
81,concrete_pour,0,0.0
82,concrete_pour,0,0.0
83,concrete_pour,0,0.0
84,concrete_pour,0,0.0
85,formwork_erection,6,45.0
86,formwork_erection,6,40.0
87,formwork_erection,6,70.0
88,formwork_erection,6,65.0
89,formwork_erection,6,65.0
