level,row,col,day,channel,lambda
L1,8,37,13,edge,1.2100000000e-07
L1,8,37,41,edge,1.2100000000e-07
L1,8,37,50,edge,1.2100000000e-07
L1,9,36,28,edge,8.8000000000e-08
L1,10,38,13,edge,1.1000000000e-08
L1,10,38,28,edge,1.1000000000e-08
L1,10,38,44,edge,9.9000000000e-08
L1,10,38,50,edge,2.2000000000e-08
L1,11,34,31,edge,1.1000000000e-08
L1,12,31,4,edge,1.1000000000e-08
L1,12,31,38,edge,2.2000000000e-08
L1,12,31,51,edge,2.2000000000e-08
L1,12,32,4,edge,1.1000000000e-08
L1,12,32,38,edge,2.2000000000e-08
L1,12,32,51,edge,2.2000000000e-08
L1,12,33,4,edge,1.1000000000e-08
L1,12,33,17,edge,1.2100000000e-07
L1,12,33,27,edge,1.2100000000e-07
L1,12,33,38,edge,2.2000000000e-08
L1,12,33,51,edge,2.2000000000e-08
L1,12,40,27,edge,1.2100000000e-07
L1,12,40,41,edge,1.1000000000e-08
L1,13,30,4,edge,1.1000000000e-08
L1,13,30,38,edge,1.2100000000e-07
L1,13,31,4,edge,1.1000000000e-08
L1,13,31,38,edge,2.2000000000e-08
L1,13,31,51,edge,1.2100000000e-07
L1,13,33,4,edge,1.1000000000e-08
L1,13,33,17,edge,1.1000000000e-08
L1,13,36,0,edge,1.1000000000e-08
L1,13,36,18,edge,1.1000000000e-08
L1,13,36,20,edge,2.2000000000e-08
L1,13,36,31,edge,1.1000000000e-08
L1,13,36,38,edge,1.1000000000e-08
L1,13,36,39,edge,1.2100000000e-07
L1,13,36,48,edge,1.1000000000e-08
L1,13,36,51,edge,1.1000000000e-08
L1,13,36,61,edge,1.1000000000e-08
L1,13,41,40,edge,1.2100000000e-07
L1,14,30,4,edge,1.1000000000e-08
L1,14,35,17,edge,1.1000000000e-08
L1,14,35,18,edge,1.1000000000e-08
L1,14,35,27,edge,1.1000000000e-08
L1,14,35,30,edge,1.1000000000e-08
L1,14,35,38,edge,1.1000000000e-08
L1,14,35,39,edge,1.2100000000e-07
L1,14,37,17,edge,1.1000000000e-08
L1,14,37,33,edge,1.2100000000e-07
L1,14,37,36,edge,1.1000000000e-08
L1,14,37,39,edge,1.1000000000e-08
L1,14,37,62,edge,1.1000000000e-08
L1,14,42,25,edge,1.1000000000e-08
L1,14,42,42,edge,1.2100000000e-07
L1,14,42,48,edge,1.1000000000e-08
L1,14,42,51,edge,1.1000000000e-08
L1,14,44,3,edge,1.2100000000e-07
L1,15,36,37,edge,1.1000000000e-08
L1,15,40,20,edge,2.2000000000e-08
L1,15,40,25,edge,1.1000000000e-08
L1,15,40,30,edge,2.2000000000e-08
L1,15,40,48,edge,2.2000000000e-08
L1,15,40,61,edge,2.2000000000e-08
L1,15,44,3,edge,2.2000000000e-08
L1,16,39,25,edge,1.1000000000e-08
L1,16,39,39,edge,2.2000000000e-08
L1,16,39,40,edge,1.1000000000e-08
L1,16,39,48,edge,1.1000000000e-08
L1,16,41,32,edge,1.1000000000e-08
L1,16,41,45,edge,1.1000000000e-08
L1,17,36,1,edge,1.1000000000e-08
L1,17,36,13,edge,1.1000000000e-08
L1,17,36,18,edge,1.1000000000e-08
L1,17,36,25,edge,1.1000000000e-08
L1,17,36,35,edge,1.1000000000e-08
L1,17,36,37,edge,1.1000000000e-08
L1,17,36,50,edge,1.1000000000e-08
L1,17,36,61,edge,1.1000000000e-08
L1,17,40,1,edge,1.1000000000e-08
L1,17,40,33,edge,1.1000000000e-08
L1,17,40,35,edge,1.1000000000e-08
L1,17,40,39,edge,2.2000000000e-08
L1,17,40,40,edge,1.1000000000e-08
L1,17,40,48,edge,1.1000000000e-08
L1,17,40,60,edge,1.1000000000e-08
L1,17,46,49,edge,7.7000000000e-08
L1,18,26,34,edge,1.2100000000e-07
L1,18,28,36,edge,1.2100000000e-07
L1,18,30,25,edge,1.2100000000e-07
L1,18,30,42,edge,1.1000000000e-08
L1,18,35,35,edge,1.2100000000e-07
L1,18,37,17,edge,2.2000000000e-08
L1,18,37,18,edge,1.1000000000e-08
L1,18,37,27,edge,1.1000000000e-08
L1,18,37,30,edge,1.1000000000e-08
L1,18,37,34,edge,1.1000000000e-08
L1,18,37,35,edge,1.1000000000e-08
L1,18,37,38,edge,1.1000000000e-08
L1,18,37,41,edge,1.1000000000e-08
L1,18,37,46,edge,1.1000000000e-08
L1,18,37,51,edge,1.1000000000e-08
L1,18,37,61,edge,1.1000000000e-08
L1,18,38,18,edge,1.1000000000e-08
L1,18,38,35,edge,1.1000000000e-08
L1,18,47,1,edge,1.1000000000e-08
L1,18,47,15,edge,1.2100000000e-07
L1,18,47,49,edge,1.2100000000e-07
L1,18,47,50,edge,1.2100000000e-07
L1,18,47,51,edge,1.1000000000e-08
L1,19,25,25,edge,2.2000000000e-08
L1,19,26,25,edge,2.2000000000e-08
L1,19,26,50,edge,7.7000000000e-08
L1,19,29,5,edge,1.2100000000e-07
L1,19,31,34,edge,1.1000000000e-08
L1,19,31,42,edge,1.1000000000e-08
L1,19,34,1,edge,1.3200000000e-07
L1,19,34,4,edge,1.1000000000e-08
L1,19,34,26,edge,1.1000000000e-08
L1,19,34,29,edge,1.1000000000e-08
L1,19,34,30,edge,2.2000000000e-08
L1,19,34,33,edge,1.1000000000e-08
L1,19,36,17,edge,1.2100000000e-07
L1,19,37,14,edge,1.2100000000e-07
L1,19,37,17,edge,2.2000000000e-08
L1,19,37,18,edge,1.1000000000e-08
L1,19,37,27,edge,1.1000000000e-08
L1,19,37,30,edge,1.1000000000e-08
L1,19,37,34,edge,1.1000000000e-08
L1,19,37,35,edge,1.1000000000e-08
L1,19,37,38,edge,1.1000000000e-08
L1,19,37,41,edge,1.1000000000e-08
L1,19,37,46,edge,1.1000000000e-08
L1,19,37,51,edge,1.1000000000e-08
L1,19,37,61,edge,1.1000000000e-08
L1,19,39,13,edge,1.1000000000e-08
L1,19,39,25,edge,1.1000000000e-08
L1,19,39,36,edge,1.1000000000e-08
L1,19,39,37,edge,1.1000000000e-08
L1,19,39,39,edge,2.2000000000e-08
L1,19,39,40,edge,2.2000000000e-08
L1,19,39,45,edge,1.1000000000e-08
