day,level,worker_id,step,row,col,state,activity_id,trade
0,L1,0,10,12,35,commute,T-1,rebar
0,L1,0,20,17,33,commute,T-1,rebar
0,L1,0,30,20,29,commute,T-1,rebar
0,L1,1,0,8,37,commute,T-1,rebar
0,L1,1,0,8,37,commute,T-1,rebar
0,L1,1,10,13,35,commute,T-1,rebar
0,L1,1,20,18,32,commute,T-1,rebar
0,L1,1,30,20,28,commute,T-1,rebar
0,L1,2,0,8,37,commute,T-1,rebar
0,L1,2,0,8,37,commute,T-1,rebar
0,L1,2,10,13,35,commute,T-1,rebar
0,L1,2,20,18,32,commute,T-1,rebar
0,L1,2,30,20,28,commute,T-1,rebar
0,L1,3,10,12,36,commute,T-1,rebar
0,L1,3,20,17,33,commute,T-1,rebar
0,L1,3,30,20,29,commute,T-1,rebar
0,L1,4,0,8,37,commute,T-1,rebar
0,L1,4,0,8,37,commute,T-1,rebar
0,L1,4,10,13,34,commute,T-1,rebar
0,L1,4,20,18,31,commute,T-1,rebar
0,L1,4,30,20,28,commute,T-1,rebar
0,L1,5,10,12,35,commute,T-1,rebar
0,L1,5,20,17,32,commute,T-1,rebar
0,L1,5,30,20,29,commute,T-1,rebar
0,L1,6,0,8,37,commute,T-9101,material_handling
0,L1,6,0,8,37,commute,T-9101,material_handling
0,L1,6,10,13,39,commute,T-9101,material_handling
0,L1,6,20,18,39,commute,T-9101,material_handling
0,L1,6,30,23,39,commute,T-9101,material_handling
0,L1,7,0,8,37,commute,T-9101,material_handling
0,L1,7,0,8,37,commute,T-9101,material_handling
0,L1,7,10,13,39,commute,T-9101,material_handling
0,L1,7,20,18,43,commute,T-9101,material_handling
0,L1,7,30,23,47,commute,T-9101,material_handling
0,L1,7,40,28,50,commute,T-9101,material_handling
0,L1,8,10,12,39,commute,T-9101,material_handling
0,L1,8,20,17,44,commute,T-9101,material_handling
0,L1,8,30,22,49,commute,T-9101,material_handling
0,L1,9,10,12,39,commute,T-9101,material_handling
0,L1,9,20,17,43,commute,T-9101,material_handling
0,L1,9,30,22,45,commute,T-9101,material_handling
0,L1,9,40,27,46,commute,T-9101,material_handling
0,L1,9,50,32,47,commute,T-9101,material_handling
0,L1,10,0,8,37,commute,T-9103,material_handling
0,L1,10,0,8,37,commute,T-9103,material_handling
0,L1,10,10,13,40,commute,T-9103,material_handling
0,L1,10,20,18,43,commute,T-9103,material_handling
0,L1,10,30,23,44,commute,T-9103,material_handling
0,L1,10,40,28,45,commute,T-9103,material_handling
0,L1,11,0,8,37,commute,T-9103,material_handling
0,L1,11,0,8,37,commute,T-9103,material_handling
0,L1,11,10,13,40,commute,T-9103,material_handling
0,L1,11,20,18,42,commute,T-9103,material_handling
0,L1,12,10,12,39,commute,T-9103,material_handling
0,L1,12,20,17,42,commute,T-9103,material_handling
0,L1,12,30,22,43,commute,T-9103,material_handling
0,L1,13,10,12,37,commute,T-9103,material_handling
0,L1,13,20,17,37,commute,T-9103,material_handling
0,L1,13,30,22,38,commute,T-9103,material_handling
0,L1,13,40,27,38,commute,T-9103,material_handling
0,L1,11,30,22,42,travel,T-9103,material_handling
0,L1,0,40,22,25,work,T-1,rebar
0,L1,1,40,22,26,work,T-1,rebar
0,L1,2,40,22,25,work,T-1,rebar
0,L1,3,40,22,25,work,T-1,rebar
0,L1,4,40,22,25,work,T-1,rebar
0,L1,5,40,22,25,work,T-1,rebar
0,L1,6,40,26,42,travel,T-9101,material_handling
0,L1,8,40,24,48,travel,T-9101,material_handling
0,L1,11,40,24,40,work,T-9103,material_handling
0,L1,12,40,27,45,travel,T-9103,material_handling
0,L1,0,50,22,25,work,T-1,rebar
0,L1,1,50,22,25,work,T-1,rebar
0,L1,2,50,23,24,work,T-1,rebar
0,L1,3,50,22,25,work,T-1,rebar
0,L1,4,50,21,26,work,T-1,rebar
0,L1,5,50,21,24,work,T-1,rebar
0,L1,6,50,31,43,travel,T-9101,material_handling
0,L1,7,50,31,49,travel,T-9101,material_handling
0,L1,8,50,26,45,work,T-9101,material_handling
0,L1,10,50,29,44,travel,T-9103,material_handling
0,L1,11,50,24,38,work,T-9103,material_handling
0,L1,12,50,26,40,travel,T-9103,material_handling
0,L1,13,50,28,43,travel,T-9103,material_handling
0,L1,0,60,22,25,work,T-1,rebar
0,L1,1,60,21,26,work,T-1,rebar
0,L1,2,60,23,24,work,T-1,rebar
0,L1,3,60,23,26,work,T-1,rebar
0,L1,4,60,22,25,work,T-1,rebar
0,L1,5,60,21,24,work,T-1,rebar
0,L1,6,60,34,42,work,T-9101,material_handling
0,L1,7,60,29,46,travel,T-9101,material_handling
0,L1,8,60,26,44,work,T-9101,material_handling
0,L1,9,60,36,49,travel,T-9101,material_handling
0,L1,10,60,26,41,travel,T-9103,material_handling
