시설물분류(대),시설물분류(중),시설물분류(소),공종분류(대),공종분류(중),위험발생객체분류(대),위험발생객체분류(중),위험발생위치분류(대),위험발생위치코드(중),위험발생위치분류(중),위험발생위치분류(소),작업프로세스명,물적피해,인적피해,사고원인,사고가능성,사고심각성,설계단계,시공단계
건축,건축물,교육연구시설,건축,가설공사,가시설,비계,외부,10,비계,상부(위),설치작업,전도,떨어짐(5미터 이상 ~ 10미터 미만),조립불량,H(4),H(4),시스템비계 설치 작업도를 작성하여 시공 시 무너짐 및 작업자 추락 방지,구조검토서에 의한 시스템비계 설치
건축,건축물,교육연구시설,건축,철근콘크리트공사,가시설,시스템동바리,내부,15,시스템동바리,고소,타설작업,전도,떨어짐(5미터 이상 ~ 10미터 미만),구조검토 미실시,H(4),H(4),구조검토서에 의한 시스템동바리 설치,시스템 동바리 안전작업 지침 준수
건축,건축물,교육연구시설,건축,건축 토공사,가시설,흙막이가시설,외부,3,흙막이가시설,하부(아래),설치작업,전도,떨어짐(2미터 이상 ~ 3미터 미만),안전성 미계산,M(3),H(4),흙막이 가시설 안전성 확인,흙막이공사안전보건작업에 관한 기술지침 준수
건축,건축물,교육연구시설,건축,건축 토공사,토사 및 암반,굴착사면,외부,217,굴착사면,상부(위),굴착작업,없음,떨어짐(2미터 이상 ~ 3미터 미만),추락방지 조치 미흡,M(3),H(4),굴착단부 안전난간 설치,안전대 사용에 관한 기술지침 준수
건축,건축물,교육연구시설,건축,건축 토공사,가시설,띠장,외부,63,띠장,상부(위),용접작업,없음,떨어짐(2미터 이상 ~ 3미터 미만),추락방지 조치 미흡,M(3),H(4),띠장 상부 안전대 부착설비 설치,안전대 사용에 관한 기술지침 준수
건축,건축물,교육연구시설,건축,철근콘크리트공사,가시설,거푸집,외부,2,거푸집,상부(위),타설작업,전도,깔림,구조검토 미실시,L(2),H(4),거푸집 측압 지지용 플랫타이 설치,거푸집 동바리 구조검토 및 설치 안전보건작업 지침 준수
건축,건축물,교육연구시설,건축,철근콘크리트공사,건설자재,데크플레이트,내부,28,데크플레이트,고소,타설작업,붕괴,떨어짐(분류불능),상세계획 미수립,L(2),H(4),접합부 상세계획 수립,데크플레이트 공법 안전보건작업 지침 준수
건축,건축물,교육연구시설,건축,철골공사,부재,철골부재,지붕,14,철골부재,고소,조립작업,낙하,떨어짐(분류불능),추락방지 미조치,H(4),H(4),철골부재에 안전대 부착설비 설치,안전대 사용에 관한 기술지침 준수
건축,건축물,교육연구시설,건축,가설공사,가시설,비계,내부,10,비계,상부(위),이동,전도,떨어짐(3미터 이상 ~ 5미터 미만),안전조치 부적정,M(3),M(3),이동식비계 조립상세도 작성 및 설치기준 준수,이동식 틀비계 고정스토퍼 설치
건축,건축물,교육연구시설,건축,철근콘크리트공사,건설기계,기중기(이동식크레인 등),외부,202,기중기(이동식크레인 등),고소,양중작업,낙하,깔림,와이어로프 검토미흡,M(3),H(4),공사 중 와이어로프 상태 확인,크레인 달기기구 및 줄걸이 작업용 와이어로프의 작업에 관한 기술지침 준수
건축,건축물,자동차 관련시설,건축,철근콘크리트공사,가시설,시스템동바리,내부,15,시스템동바리,상부(위),설치작업,붕괴,깔림,임의시공 및 안전조치 미흡,M(2),M(4),시스템동바리 구조계산 및 상세도면 작성,재사용 가설기자재 반입 전 성능검사 실시
건축,건축물,자동차 관련시설,건축,철근콘크리트공사,가시설,작업발판,내부,13,작업발판,하부(아래),설치작업,없음,떨어짐(분류불능),작업발판 난간 미설치,M(2),M(4),계단실 작업발판 설치 도면 작성,작업발판 상부에 중량물 적재 금지
건축,건축물,자동차 관련시설,건축,건축 토공사,토사 및 암반,굴착사면,인접주변,217,굴착사면,지하,굴착작업,붕괴,깔림,우수유입 방지대책 미흡,M(2),M(4),배수로 설치도 작성,집수정을 설치하여 유입수 배수조치
건축,건축물,자동차 관련시설,건축,건축 토공사,가시설,흙막이가시설,내부,3,흙막이가시설,지하,이동,없음,떨어짐(분류불능),안전난간 미설치,M(2),M(4),안전난간 설치,수직방망 설치
건축,건축물,자동차 관련시설,건축,건축 토공사,가시설,흙막이가시설,내부,3,흙막이가시설,지하,설치작업,붕괴,깔림,과굴착,M(2),M(4),시공순서도 작성(굴착구배 포함),굴착 순서 준수하여 시공
건축,건축물,자동차 관련시설,건축,건축 토공사,가시설,흙막이가시설,내부,3,흙막이가시설,지하,해체작업,붕괴,깔림,해체순서 미준수,M(2),M(4),흙막이가시설 해체순서도 작성,해체 순서에 따른 콘크리트 타설순서 준수
건축,건축물,자동차 관련시설,기타,기타,가시설,비계,내부,10,비계,상부(위),마감작업,붕괴,떨어짐(분류불능),조립상세도 미준수,M(2),M(4),이동식틀비계 조립상세도 작성,이동식틀비계 고정스토퍼 설치
건축,건축물,자동차 관련시설,건축,가설공사,가시설,비계,외부,10,비계,상부(위),조립작업,붕괴,깔림,조립불량,M(2),M(4),"비계 설치, 해체작업 준수",비계 설치구간에 따라 구조검토 실시 후 시공상세도면 반영
건축,건축물,자동차 관련시설,기타,기타,기타,기타,외부,999,기타,상부(위),기타,기타,기타,교통사고,M(2),M(3),주변 통행인 및 교통에 대한 교통처리방안계획 수립,시공 전 현장여건을 고려하여 신호수 배치
건축,건축물,자동차 관련시설,전기설비,전기설비공사,시설물,건물,내부,20,건물,상부(위),용접작업,화재,화재,화재예방미흡,M(2),M(5),화재예방대책 수립,용접 작업 시 화재감시인 배치
건축,건축물,자동차 관련시설,기타,기타,기타,기타,내부,999,기타,지하,기타,기타,질식,환기미실시,M(2),M(4),밀폐공간 환기실시,밀폐공간 환기량계산 실시
건축,건축물,자동차 관련시설,기타,기타,가시설,안전시설물,내부,112,안전시설물,상부(위),설치작업,없음,떨어짐(분류불능),안전난간 미설치,M(2),M(3),"구조물 단부 및 개구부에 안전난간 설치, 안전대 설치 등추락방지조치 실시",고소작업시 안전대걸이에 2인 이상 걸기 금지
건축,건축물,자동차 관련시설,건축,철근콘크리트공사,가시설,거푸집,내부,2,거푸집,지하,타설작업,붕괴,깔림,합벽지지대 미설치,M(2),M(4),합벽지지대 설치도 작성,안전난간 설치
건축,건축물,자동차 관련시설,기타,기타,기타,기타,내부,999,기타,바닥,설치작업,화재,화재,가설전기 취급 미흡,M(2),M(5),이동전선 관리방법 및 누전차단기 설치,가설전기 안전시공 및 주의사항 준수하여 시공
건축,건축물,자동차 관련시설,건축,철근콘크리트공사,건설자재,데크플레이트,내부,28,데크플레이트,상부(위),설치작업,붕괴,깔림,임의시공,M(2),M(3),접합상세도 작성,데크플레이트 안전시공절차 준수
건축,건축물,자동차 관련시설,건축,철골공사,부재,철골부재,지붕,14,철골부재,상부(위),이동,없음,떨어짐(분류불능),안전설비 미흡,M(2),M(4),철골 안전대 부착설비 착용,추락방지망 설치
건축,건축물,수련시설,건축,가설공사,가시설,비계,외부,10,비계,상부(위),설치작업,붕괴,떨어짐(10미터 이상),무너짐_시스템비계 안전성 미검토 및 조립도 미작성,H(3),H(4),시스템비계 안전성검토 및 조립도 작성,시스템비계 벽이음 상세도 작성
건축,건축물,수련시설,건축,가설공사,가시설,낙하물방지망,외부,36,낙하물방지망,상부(위),설치작업,붕괴,떨어짐(10미터 이상),무너짐_낙하물방지망 설치도면 미작성,H(3),H(4),낙하물방지망 설치도면작성,주출입구 및 안전통로 상부 방호선반 설치도면 작성
건축,건축물,수련시설,건축,가설공사,건설기계,특수건설기계,외부,239,특수건설기계,바닥,양중작업,전도,깔림,넘어짐_이동식크레인 안전성 미검토 및 받침목 미설치,M(2),H(4),이동식크레인 안전성 검토 및 받침목 설치,이동식크레인 인양능력 및 줄걸이 안전성 검토
건축,건축물,수련시설,건축,가설공사,건설기계,천공기,외부,47,천공기,바닥,천공작업,전도,깔림,넘어짐_천공기 작업계획 미작성,M(2),H(4),천공기 작업계획 작성,천공기 지내력 검토 및 아웃트리거 받침목 설치
건축,건축물,수련시설,건축,건축 토공사,토사 및 암반,굴착사면,외부,217,굴착사면,하부(아래),굴착작업,붕괴,깔림,무너짐_굴착면 기울기를 반영한 굴착계획도면 미작성,H(3),H(4),굴착면 기울기를 반영한 굴착계획도면 작성,"안전난간, 안저대 걸이시설 설치"
건축,건축물,수련시설,건축,건축 토공사,토사 및 암반,굴착사면,외부,217,굴착사면,하부(아래),부설 및 다짐작업,붕괴,깔림,무너짐_되메우기 도면 미작성,M(2),H(4),되메우기 도면 작성,되메우기 현장시험계획 도면에 표기하여 반영
건축,건축물,수련시설,건축,가설공사,가시설,흙막이가시설,외부,3,흙막이가시설,하부(아래),설치작업,붕괴,깔림,무너짐_흙막이가시설 설치 및 해체순서도 미작성,M(2),H(4),흙막이가시설 설치 및 해체순서도 작성,굴착저면 가배수로 및 집수정 설치계획 반영
건축,건축물,수련시설,건축,건축 토공사,가시설,흙막이가시설,외부,3,흙막이가시설,하부(아래),해체작업,붕괴,떨어짐(3미터 이상 ~ 5미터 미만),무너짐_Con＇c Block 안전성 미검토,H(3),H(3),Con’c Block 안전성 검토,흙막이가시설 구간 계측기 설치 및 계측관리
